angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"(413, 114, 381, 381)",0.0,0.0,0.07,0.9,0.01,0.02
0.0,"(414, 116, 381, 381)",0.0,0.0,0.12,0.85,0.01,0.01
0.0,"(417, 119, 379, 379)",0.0,0.0,0.17,0.81,0.0,0.0
0.01,"(411, 113, 381, 381)",0.0,0.0,0.08,0.88,0.01,0.02
0.01,"(417, 115, 379, 379)",0.0,0.0,0.09,0.89,0.0,0.0
0.01,"(416, 108, 383, 383)",0.0,0.01,0.13,0.83,0.01,0.02
0.0,"(414, 109, 381, 381)",0.0,0.0,0.09,0.89,0.0,0.01
0.0,"(415, 112, 383, 383)",0.0,0.0,0.27,0.71,0.0,0.01
0.0,"(413, 110, 384, 384)",0.0,0.0,0.24,0.75,0.0,0.0
0.0,"(418, 116, 371, 371)",0.0,0.0,0.08,0.91,0.0,0.0
0.01,"(416, 109, 383, 383)",0.0,0.0,0.19,0.79,0.01,0.0
0.01,"(413, 106, 382, 382)",0.0,0.01,0.15,0.83,0.01,0.01
0.01,"(413, 106, 382, 382)",0.0,0.01,0.15,0.83,0.01,0.01
0.0,"(416, 106, 382, 382)",0.0,0.0,0.08,0.9,0.01,0.0
0.0,"(417, 110, 378, 378)",0.0,0.0,0.08,0.91,0.0,0.0
0.01,"(413, 107, 386, 386)",0.0,0.0,0.22,0.76,0.01,0.0
0.01,"(409, 103, 388, 388)",0.0,0.01,0.12,0.83,0.01,0.02
0.05,"(406, 101, 393, 393)",0.0,0.03,0.19,0.68,0.02,0.03
0.12,"(397, 96, 400, 400)",0.0,0.06,0.23,0.43,0.02,0.14
0.08,"(389, 91, 409, 409)",0.0,0.06,0.15,0.09,0.01,0.61
0.07,"(386, 94, 410, 410)",0.0,0.04,0.16,0.06,0.02,0.65
0.02,"(387, 97, 412, 412)",0.0,0.02,0.12,0.04,0.01,0.78
0.06,"(387, 96, 414, 414)",0.0,0.02,0.19,0.08,0.03,0.62
0.09,"(387, 89, 413, 413)",0.0,0.04,0.14,0.04,0.01,0.68
0.04,"(399, 88, 409, 409)",0.0,0.02,0.23,0.06,0.01,0.63
0.01,"(400, 87, 406, 406)",0.0,0.01,0.11,0.02,0.0,0.84
0.02,"(399, 95, 402, 402)",0.0,0.01,0.1,0.03,0.0,0.83
0.01,"(401, 92, 404, 404)",0.0,0.01,0.14,0.05,0.0,0.78
0.02,"(400, 90, 405, 405)",0.0,0.02,0.15,0.03,0.0,0.77
0.01,"(404, 89, 408, 408)",0.0,0.01,0.24,0.07,0.01,0.66
0.04,"(405, 84, 406, 406)",0.0,0.04,0.13,0.1,0.02,0.68
0.04,"(396, 84, 415, 415)",0.0,0.07,0.18,0.07,0.01,0.63
0.03,"(400, 89, 399, 399)",0.0,0.02,0.2,0.09,0.01,0.65
0.01,"(395, 85, 410, 410)",0.0,0.01,0.22,0.05,0.01,0.7
0.03,"(399, 81, 411, 411)",0.0,0.03,0.25,0.1,0.02,0.57
0.03,"(395, 71, 415, 415)",0.0,0.02,0.24,0.11,0.01,0.58
0.06,"(388, 76, 421, 421)",0.0,0.05,0.38,0.1,0.02,0.39
0.07,"(395, 77, 414, 414)",0.0,0.04,0.2,0.08,0.01,0.6
0.02,"(396, 79, 413, 413)",0.0,0.01,0.47,0.06,0.0,0.44
0.01,"(397, 81, 411, 411)",0.0,0.01,0.6,0.1,0.01,0.27
0.02,"(397, 81, 412, 412)",0.0,0.01,0.3,0.13,0.01,0.53
0.13,"(401, 94, 411, 411)",0.0,0.05,0.44,0.17,0.08,0.13
0.02,"(396, 84, 412, 412)",0.0,0.03,0.36,0.08,0.01,0.51
0.08,"(398, 78, 410, 410)",0.0,0.03,0.41,0.16,0.01,0.31
0.07,"(403, 86, 407, 407)",0.0,0.02,0.44,0.19,0.03,0.25
0.26,"(403, 89, 400, 400)",0.0,0.09,0.02,0.42,0.19,0.01
0.07,"(428, 129, 358, 358)",0.0,0.14,0.01,0.5,0.28,0.01
0.08,"(401, 91, 403, 403)",0.0,0.05,0.03,0.71,0.12,0.0
0.05,"(401, 86, 405, 405)",0.0,0.02,0.39,0.48,0.05,0.01
0.03,"(402, 84, 403, 403)",0.0,0.01,0.43,0.47,0.02,0.04
0.03,"(402, 81, 402, 402)",0.0,0.01,0.28,0.61,0.02,0.05
0.03,"(406, 82, 396, 396)",0.0,0.04,0.09,0.75,0.02,0.07
0.01,"(405, 83, 397, 397)",0.0,0.02,0.2,0.63,0.01,0.13
0.01,"(398, 80, 396, 396)",0.0,0.01,0.14,0.79,0.01,0.03
0.01,"(401, 77, 399, 399)",0.0,0.0,0.27,0.7,0.0,0.01
0.0,"(405, 78, 400, 400)",0.0,0.0,0.24,0.74,0.0,0.0
0.0,"(407, 79, 396, 396)",0.0,0.0,0.09,0.9,0.01,0.0
0.01,"(408, 84, 390, 390)",0.0,0.01,0.08,0.89,0.01,0.0
0.01,"(401, 78, 396, 396)",0.0,0.0,0.14,0.84,0.01,0.01
0.0,"(402, 73, 396, 396)",0.0,0.0,0.36,0.63,0.0,0.0
0.0,"(406, 74, 391, 391)",0.0,0.0,0.35,0.64,0.01,0.0
0.0,"(405, 75, 392, 392)",0.0,0.0,0.36,0.62,0.0,0.01
0.0,"(411, 85, 389, 389)",0.0,0.0,0.55,0.44,0.0,0.0
0.0,"(406, 75, 395, 395)",0.0,0.0,0.53,0.46,0.0,0.01
0.0,"(407, 74, 391, 391)",0.0,0.0,0.53,0.45,0.0,0.02
0.0,"(409, 72, 390, 390)",0.0,0.0,0.71,0.27,0.0,0.02
0.0,"(405, 71, 391, 391)",0.0,0.0,0.83,0.15,0.0,0.02
0.0,"(411, 83, 383, 383)",0.0,0.0,0.85,0.15,0.0,0.0
0.0,"(409, 84, 381, 381)",0.0,0.0,0.71,0.29,0.0,0.0
0.0,"(404, 73, 391, 391)",0.0,0.0,0.81,0.18,0.0,0.01
0.0,"(411, 76, 386, 386)",0.0,0.0,0.79,0.21,0.0,0.0
0.0,"(405, 75, 390, 390)",0.0,0.0,0.78,0.22,0.0,0.0
0.0,"(403, 77, 390, 390)",0.0,0.0,0.81,0.19,0.0,0.0
